"year","month","month_num","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms"
2004,"March",3,0.607587155963303,0.754620183486238,5.67889908256881,-6.58808256880734,0.605504587155963,0.0786229357798165,0.116882502752294,0.115760134678899,0.19465504587156,0.552085321100917,120.789211009174,258689.211009174
2004,"April",4,0.592209090909091,0.768087272727273,5.36363636363636,-6.1077,0.563636363636364,0.0853136363636364,0.110780010909091,0.103115621454545,0.181515454545455,0.587223636363636,128.043881818182,249303.281818182
2004,"May",5,0.5615,0.797453333333333,5.675,-5.805925,0.583333333333333,0.0837933333333333,0.0948072941666667,0.0885487199166667,0.1745025,0.543883333333333,128.524625,239612.416666667
2004,"June",6,0.582558558558559,0.770351351351351,5.00900900900901,-6.08974774774775,0.594594594594595,0.0716603603603604,0.134053248378378,0.110117293423423,0.168489189189189,0.558946846846847,127.864702702703,245628.792792793
2004,"July",7,0.610052173913043,0.767321739130435,5.32173913043478,-6.18652173913044,0.626086956521739,0.0725382608695652,0.134544996521739,0.0904799450434783,0.192513913043478,0.591820869565217,127.681730434783,247267.947826087
2004,"August",8,0.603945736434109,0.783025581395349,4.68217054263566,-6.03853488372093,0.682170542635659,0.0665170542635659,0.115180820697674,0.105599086821705,0.198000775193798,0.563423255813953,128.946875968992,236549.224806202
2004,"September",9,0.593931623931624,0.775641025641026,5.5982905982906,-6.06767521367521,0.700854700854701,0.0793128205128205,0.145819617094017,0.0778794841025641,0.203135897435897,0.573315384615385,126.979606837607,229099.658119658
2004,"October",10,0.588229007633588,0.774923664122137,5.11450381679389,-5.9235572519084,0.580152671755725,0.0849679389312977,0.138685765648855,0.0865689796183206,0.206577099236641,0.55987786259542,124.894450381679,233788.305343511
2004,"November",11,0.597637931034483,0.748465517241379,5.22413793103448,-6.46858620689655,0.603448275862069,0.0803258620689655,0.12139111387931,0.116594184137931,0.214459482758621,0.541062068965517,120.279982758621,244709.025862069
2004,"December",12,0.591917647058824,0.751905882352941,5.63529411764706,-6.23096470588235,0.647058823529412,0.0835011764705882,0.12810632,0.106892414705882,0.214590588235294,0.553552941176471,122.163823529412,241380.411764706
2005,"January",1,0.591278846153846,0.786288461538462,5.64423076923077,-5.96521153846154,0.596153846153846,0.0796442307692308,0.08744735625,0.103606800096154,0.211727884615385,0.543945192307692,124.699432692308,234540.269230769
2005,"February",2,0.552910280373832,0.742917757009346,5.34579439252336,-6.24975700934579,0.672897196261682,0.070196261682243,0.120329944392523,0.0794660325233645,0.190801869158879,0.520135514018692,127.244411214953,227481.448598131
2005,"March",3,0.580131578947368,0.759519298245614,5.14912280701754,-6.00413157894737,0.684210526315789,0.0886210526315789,0.128389213947368,0.0636467816666667,0.185975438596491,0.5705,128.849473684211,231583.271929825
